ID,scientific_name,mid_date,coloniser_mode,host_plant_status,micro_macro
1,Acleris abietana,1965,A,Non-native,micro
3,Adoxophyes orana,1955,I,Native,micro
4,Anarsia innoxiella,1995,I,Native,micro
5,Ancylosis oblitella ,1955,I,Native,micro
6,Antispila treitschkiella,2015,A,Non-native,micro
7,Aplasta ononaria,1935,I,Native,macro
9,Argolamprotes micella,1965,I,Native,micro
10,Argyresthia cupressella,1995,A,Native,micro
11,Argyresthia trifasciata,1995,A,Native,micro
12,Athrips rancidella,1975,A,Non-native,micro
13,Barea asbolaea,2005,A,Non-native,micro
14,Bisigna procerella,1975,I,Native,micro
15,Blastobasis decolorella,1945,A,Native,micro
16,Blastobasis lignea,1915,A,Native,micro
18,Blastobasis rebeli,1995,A,NA,micro
19,Blastobasis vittata,2005,A,NA,micro
20,Bucculatrix ulmifoliae,2005,A,Non-native,micro
22,Calophasia lunula,1955,I,Native,macro
23,Caloptilia azaleella,1935,A,Non-native,micro
27,Catocala electa,2015,I,Native,macro
28,Catocala fraxini,2005,I,Native,macro
29,Catoptria verellus,2015,I,Native,micro
30,Choreutis nemorana,2015,A,Non-native,micro
31,Clavigesta purdeyi,1915,I,Non-native,micro
32,Clepsis dumicolana,2015,A,Native,micro
33,Clostera anachoreta,1975,I,Native,macro
34,Cochylis molliculana ,1995,I,Native,micro
37,Coleophora amethystinella ,1975,I,Native,micro
39,Coleotechnites piceaella,1955,A,Non-native,micro
40,Conistra rubiginosa ,2015,I,Native,macro
41,Cosmopterix pulchrimella,2005,I,Native,micro
43,Cryphia algae,2005,I,Native,macro
44,Cyclophora puppillaria,2005,I,Non-native,macro
45,Cyclophora ruficiliaria,2005,I,Native,macro
46,Cydalima perspectalis,2005,A,Native,micro
48,Cydia illutana,1975,I,Non-native,micro
49,Cydia inquinatana,2015,I,Native,micro
50,Cydia interscindana,2015,A,Non-native,micro
51,Cydia medicaginis ,1975,I,Native,micro
52,Cydia milleniana ,1945,A,Non-native,micro
55,Dioryctria schuetzeella,1985,I,Non-native,micro
56,Dioryctria sylvestrella ,1995,I,Non-native,micro
57,Drepana curvatula,2015,I,Native,macro
58,Dryobota labecula,1995,I,Non-native,macro
